iobs,ca,start_time,int_lo_code,int_area,c1_1,c1_2,c1_3,c1_4,c1_5,c1_6,c2,c2a,c3,c4,c5,c6,c7,c8,c9_1,c9_2,c9_3,c9_4,c9_5,c9_6,c9_7,c9_8,c9_9,c9_10,c10,c11,c12,c13,c14,c15,c16,c18,c19_1,c19_2,c19_3,c19_4,c19_5,c19_6,c19_7,c19_8,c19_9,c19_10,c19_11,c19_12,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58_1,c58_2,c58_3,c58_4,c58_5,c59,c60,c61,c62,C67,c71,c73
5006,1,1225,1030,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,2, , , , , , , , , ,2, , , , , ,2,2,100,2,0,2,2, , , ,15,55,2,15,2,1,3,1,0,0,0,0,1,1,1, ,WA6 ,1,1235
5007,1,1210,1030,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2,0,0,2, , , ,50,50,2,0,0,1,6,1,0,0,0,0,1,1,1, ,FY5 ,2,1220
5008,1,1050,1030,5,1,0,0,0,0,0,10,1,1, ,7,2, ,1,1,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1, ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,2, , , , , , , , , ,2, , , , , ,2,2,100,7,100,7,2, , , ,9999,80,7,100,7,1,4,1,0,0,0,0,1,1,1, ,NE11,2,1055
5009,1,1025,1030,5,1,0,0,0,0,0,10,1,1, ,3,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,2, , , , , , , , , ,2, , , , , ,2,2,40,3,50,3,2, , , ,9999,100,3,9999,3,1,10,1,0,0,0,0,1,1,1, ,CW1 ,1,1035
5010,1,1005,1030,5,1,0,0,0,0,0,10,1,1, ,2,1,1,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,2, , , , , , , , , ,2, , , , , ,2,2,80,2,20,2,2, , , ,9999,50,2,40,2,1,1,1,0,0,0,0,1,1,1, ,SR6 ,2,1010
5011,1,950,1030,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,2,0,0,2, , , ,9999,12,2,0,2,1,3,1,0,0,0,0,1,1,1, ,LA9 ,2,1000
5012,1,900,1030,5,1,0,0,0,0,0,2,2, ,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,1,0,0,0,0,1,1, ,1,HG4 ,1,905
5013,1,820,1030,5,1,0,0,0,0,0,10,1,1, ,3,1,1,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,2, , , , , , , , , ,2, , , , , ,2,2,30,6,0,6,2, , , ,20,50,6,50,6,1,2,1,0,0,0,0,1,1,1, ,PR9 ,1,830
5014,1,1220,1033,5,1,0,0,0,0,0,5,2, ,1,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,11,1,0,0,0,0,3,3, ,1,TS15,1,1224
5015,1,1235,1033,5,1,0,0,0,0,0,3,2, ,1,2,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,1,0,0,0,0,1,1, ,6,YO30,2,1239
5016,1,1355,1033,5,1,0,0,0,0,0,2,2, ,1,4,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,0,1,0,0,4,1, ,1,DL10,2,1359
5017,1,1240,1033,5,1,1,0,0,0,0,3,2, ,2,5,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,0,0,0,0,1,1, ,1,YO32,1,1244
5018,1,1225,1033,5,1,0,0,0,0,0,1,2, ,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,1,0,1,0,0,1,1, ,1,DL10,2,1229
5019,1,1305,1033,5,1,0,0,0,0,0,1,2, ,1,10,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,13,1,0,1,0,0,1,1, ,1,LS25,2,1309
5020,1,1230,1033,5,1,0,0,0,0,0,10,1,1, ,4,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,14, , , , , , , , , ,13, , , , , ,14,14,340,4,1000,4,2, , , ,60,60,4,0,0,1,1,1,0,1,0,0,1,1,2, ,BH21,1,1234
5021,1,1245,1033,5,1,0,0,0,0,0,10,1,1, ,10,2, ,2, , , , , , , , , , , , , , , , , ,2,1,0,0,0,0,0,0,0,0,0,0,0,7, , , , , , , , , ,6, , , , , , , , , ,7,6,280,2,1000,10,2, , , ,100,100,2,200,2,1,2,1,0,1,0,0,1,1,1, ,LL34,1,1249
5022,1,1250,1033,5,1,0,0,0,0,0,10,1,1, ,8,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,4,0,0,2, , , ,40,40,4,0,0,1,5,1,0,0,0,0,1,1,1, ,NE3 ,2,1254
5023,1,1310,1033,5,1,0,0,0,0,0,5,2, ,1,16,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,7,1,0,1,0,0,1,1, ,6,YO60,1,1314
5024,1,1330,1033,5,1,0,0,0,0,0,5,2, ,1,4,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,0,1,0,0,4,1, ,6,DN10,1,1334
5025,1,1345,1033,5,1,1,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,2,1,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , ,1, , , , , , , , , ,2,1,100,2,120,2,2, , , ,130,130,2,20,2,1,7,1,0,1,0,0,1,1,1, ,ME5 ,1,1349
5026,1,1405,1033,5,1,0,0,0,0,0,10,1,1, ,3,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,3,0,0,2, , , ,25,25,3,0,0,1,1,1,0,1,0,0,1,1,1, ,NE3 ,2,9999
5027,1,1415,1033,5,1,0,0,0,0,0,10,1,1, ,1,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,0,2, , , ,10,10,1,0,1,1,3,0,0,0,0,1,2,2,5, ,NE12,1,1419
5028,1,1500,1033,5,1,1,0,0,0,0,10,1,1, ,4,2, ,1,0,0,0,0,0,0,1,0,0,0, , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50,4,0,0,2, , , ,20,20,4,1,4,1,5,1,0,1,0,0,1,1,3, ,TS17,1,1504
5029,1,1529,1033,5,1,0,0,0,0,0,5,2, ,1,5,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,1,0,1,0,0,1,1, ,1,DL6 ,2,1534
5030,1,1540,1033,5,1,1,0,0,0,0,10,1,1, ,1,1,2,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30,1,0,0,2, , , ,30,30,1,0,1,1,1,1,0,0,0,0,1,1,1, ,TS14,1,1544
5031,1,1545,1033,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,2,0,0,2, , , ,10,10,2,0,0,1,4,1,0,0,0,0,4,1,6, ,TS17,1,1549
5032,1,1555,1033,5,1,0,0,0,0,0,10,1,1, ,5,1,2,2, , , , , , , , , , , , , , , , , ,2,0,0,1,0,0,0,0,0,0,0,0,0, , ,2, , , , , , , , , ,2, , , , , , , ,2,2,0,0,0,0,2, , , ,9999,9999,5,50,2,1,3,0,0,1,0,0,1,1,1, ,G74 ,1,1559
5033,1,1630,1033,5,1,1,0,0,0,0,10,1,1, ,4,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,2, , , , , , , , , ,2, , , , , ,2,2,100,2,200,2,2, , , ,9999,9999,9999,0,0,1,6,1,0,0,0,0,1,1,1, ,LA13,2,1634
5034,1,1505,1033,5,1,0,0,0,0,0,5,2, ,1,8,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,1,0,1,0,0,4,1, ,1,DL9 ,2,1512
5035,1,1445,1033,5,1,0,0,0,0,0,1,2, ,1,2,2, ,1,0,0,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,0,1,0,0,4,2, ,1,LS17,1,1449
5036,1,1610,1033,5,1,0,0,0,0,0,5,2, ,1,3,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,1,0,0,0,0,4,1, ,1,DL11,2,1614
5037,1,1318,1033,5,1,0,0,0,0,0,1,2, ,1,8,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,11,0,0,0,0,1,1,1, ,1,DL11,2,1329
5038,1,1550,1029,5,1,0,0,0,0,0,10,1,1, ,4,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,2,0,0,2, , , ,10,10,4,0,0,1,3,1,0,0,0,0,1,1,1, ,M28 ,2,1555
5039,1,1540,1029,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,2, , , , , , , , , ,2, , , , , ,2,2,9999,2,20,2,2, , , ,9999,9999,2,9999,2,1,1,0,0,0,0,1,2,2,2, ,X   ,2,1545
5040,1,1525,1029,5,1,0,0,0,0,0,11,1,2, ,4,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , ,10, , , , , , , , , ,9,10,9,9999,4,9999,9999,2, , , ,9999,9999,4,0,0,1,1,0,0,0,0,1,1,1,1, ,    ,2,1530
5041,1,1510,1029,5,1,0,0,0,0,0,10,1,1, ,3,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , ,2, , , , , , , , , ,2,2,2,15,3,19,3,2, , , ,10,20,3,0,0,1,3,0,0,0,0,1,4,4,4, ,NE21,2,1518
5042,1,1502,1029,5,1,0,0,0,0,0,10,1,3, ,3,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1, ,1, , , ,2,0,0,1,0,1,0,0,0,0,0,0,0, , ,1, ,6, , , , , , , ,1, ,6, , , , , ,7,7,45,3,13,1,1,5,10,2, , , ,40,2,1,6,1,0,0,0,0,1,1,1, ,IV45,2,1507
5043,1,1450,1029,5,1,0,0,0,0,0,10,1,1, ,2,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,2, , , ,15,15,2,0,0,1,11,0,0,0,0,1,2,2,4, ,DL2 ,2,1500
5044,1,1420,1029,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,2, , , , , , , , , ,1, , , , , ,2,1,200,2,9999,9999,3, , , , , , ,9999,2,1,3,0,0,0,0,1,1,1,1, ,DG1 ,2,1426
5045,1,1430,1029,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,2,9999,9999,2, , , ,30,9999,2,9999,2,1,7,1,0,0,0,0,1,1,1, ,CA3 ,2,1436
5046,1,1510,1029,5,1,0,0,0,0,0,10,1,1, ,6,2, ,1,0,0,0,0,0,0,1,0,0,0, , , , , , ,1,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,4, , , , , , , , , ,3, , , , , ,4,3,50,6,230,6,3, , , , , , ,20,6,1,6,0,0,0,0,1,1,1,1, ,NR15,2,1516
5047,1,1518,1029,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,2,9999,9999,3, , , , , , ,9999,2,1,3,1,0,0,0,0,1,1,1, ,CA14,2,1524
5048,1,1527,1029,5,1,0,0,0,0,0,10,1,1, ,1,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,3, , , , , , ,9999,9999,1,1,1,0,0,0,0,1,1,1, ,CA16,2,1533
5049,1,1552,1029,5,1,0,0,0,0,0,10,1,1, ,3,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,3,9999,9999,3, , , , , , ,10,1,2,11,1,0,0,0,0,1,1,1, ,LA23,2,1558
5050,1,1535,1029,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,2,9999,9999,3, , , , , , ,9999,2,1,1,0,0,0,0,1,3,3,1, ,CA16,2,1541
5051,1,1206,1029,5,1,0,0,0,0,0,10,1,1, ,3,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , ,2, , , , , , , , , ,1,2,1,60,3,60,3,3, , , , , , ,0,0,1,8,0,0,0,0,1,1,1,1, ,WA13,2,1214
5052,1,1155,1029,5,1,0,0,0,0,0,10,1,1, ,1,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,1,9999,9999,3, , , , , , ,0,0,1,2,1,0,0,0,0,1,1,3, ,LA9 ,2,1203
5053,1,1140,1029,5,1,0,0,0,0,0,10,1,1, ,4,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,2, , , , , , , , , ,1, , , , , ,2,1,40,4,0,4,3, , , , , , ,20,4,1,2,0,0,1,0,0,1,1,3, ,DE23,3,1146
5054,1,1115,1029,5,1,1,0,0,0,0,11,1,1, ,4,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,1,1,0,0,0,0,0,0,0, , , ,1,2, , , , , , , , ,1,1, , , , , ,3,2,150,4,9999,4,3, , , , , , ,9999,1,1,6,1,0,0,0,0,1,1,1, ,    ,2,1121
5055,1,1130,1029,5,1,0,0,0,0,0,10,1,1, ,6,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,2, , , , , , , , , ,1, , , , , ,3,1,80,6,100,6,3, , , , , , ,9999,6,1,6,1,0,0,0,0,1,1,1, ,TS21,2,1136
5056,1,1109,1029,5,1,0,0,0,0,0,10,1,1, ,3,2, ,1,0,0,0,0,0,0,0,0,0,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,3,9999,9999,3, , , , , , ,9999,9999,1,2,0,0,0,0,1,1,1,1, ,CA11,2,1115
5057,1,1100,1029,5,1,0,0,0,0,0,5,2, ,1,4,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,0,0,1,0,0,2,1, ,1,DN4 ,2,1106
5058,1,1050,1029,5,1,0,0,0,0,0,10,1,1, ,3,1,1,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , ,2, , , , , , , , , ,1,2,1,200,9999,396,3,3, , , , , , ,40,1,1,4,0,0,1,0,0,1,1,1, ,NE38,2,1056
5059,1,1250,1029,5,1,1,0,0,0,0,3,2, ,1,2,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,0,0,0,0,1,1,1, ,1,YO14,3,1256
5060,1,1542,1029,5,1,1,0,0,0,0,2,2, ,1,17,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,1,0,0,0,0,1,1, ,1,YO26,2,1549
5061,1,1217,1029,5,1,0,0,0,0,0,10,1,1, ,4,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,2,0,0,1,0,0,0,0,0,0,0,0,0, , ,2, , , , , , , , , ,2, , , , , , , ,2,2,100,4,300,4,3, , , , , , ,0,0,1,3,1,0,0,0,0,1,1,1, ,NR34,2,1225
5062,1,1228,1029,5,1,1,0,0,0,0,10,1,1, ,4,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,1,0,0,0,0,0,0,0,0,0, , ,2, , , , , , , , , ,1, , , , , , , ,2,1,40,4,60,4,3, , , , , , ,10,4,1,3,1,0,0,0,0,1,1,1, ,L8 6,2,1237
5063,1,1240,1029,5,1,0,0,0,0,0,10,1,1, ,10,2, ,1,0,0,0,1,0,0,1,0,0,0, , , ,1, , ,1,2,0,0,1,0,0,0,0,0,0,0,0,0, , ,7, , , , , , , , , ,6, , , , , , , ,7,6,40,10,1000,10,3, , , , , , ,9999,9999,1,11,0,0,0,0,1,1,1,2, ,TS10,2,1248
5064,1,1305,1029,5,1,0,0,0,0,0,10,1,1, ,4,2, ,1,0,0,0,0,0,0,0,0,1,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,4,9999,9999,3, , , , , , ,9999,9999,1,6,0,1,0,0,0,5,5,1, ,NE23,2,1312
5065,1,1315,1029,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,0, , , , , , , , , ,0, , , , , ,0,0,10,2,9999,9999,3, , , , , , ,30,2,1,7,1,0,0,0,0,1,2,1, ,AL9 ,2,1320
5066,1,1223,1029,5,1,0,0,0,0,0,10,1,1, ,1,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,1,3, , , , , , ,0,0,1,1,0,0,0,0,1,1,1,1, ,CA6 ,2,1229
5067,1,1334,1029,5,1,0,0,0,0,0,5,2, ,2,3,1,1,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,11,0,0,0,0,1,1,1, ,1,DL11,2,1340
5068,1,1349,1029,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,3, , , , , , ,9999,2,1,1,1,0,0,0,0,1,1,1, ,CA16,2,1358
5069,1,1410,1029,5,1,0,0,0,0,0,10,1,1, ,1,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,1,9999,9999,3, , , , , , ,9999,1,1,1,0,0,0,0,1,1,1,1, ,CA11,2,1417
5070,1,1125,1030,5,1,0,0,0,0,0,5,2, ,2,3,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6,0,0,0,0,1,1,1, ,1,TS10,2,1135
5071,1,1110,1030,5,1,0,0,0,0,0,5,2, ,2,2,2, ,1,1,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,11,0,0,0,0,1,5,5, ,1,DL11,2,1115
5072,1,1625,1030,5,1,0,0,0,0,0,4,2, ,1,2,2, ,1,1,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,0,0,0,1,4,1, ,2,LE3 ,2,1630
5073,1,1600,1030,5,1,0,0,0,0,0,4,2, ,2,7,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,0,0,0,0,1,1,1, ,1,S35 ,2,1605
5074,1,910,1030,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,2,0,1,0,0,0,0,0,0,0,0,0,0, ,4, , , , , , , , , ,4, , , , , , , , ,4,4,30,2,50,2,2, , , ,9999,100,2,0,2,1,4,1,0,0,0,0,1,1,1, ,LE2 ,1,915
5075,1,850,1030,5,1,0,0,0,0,0,10,1,1, ,2,1,1,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50,2,0,0,2, , , ,20,20,2,0,2,1,10,0,1,0,0,0,1,1,1, ,CF23,1,855
5076,1,835,1030,5,1,0,0,0,0,0,10,1,1, ,4,2, ,1,0,0,1,0,0,0,0,0,0,0, , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50,4,0,0,2, , , ,12,12,4,0,0,1,1,1,0,0,0,0,1,1,1, ,LA8 ,1,840
5077,1,1635,1030,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,8, , , , , , , , , ,7, , , , , ,8,7,20,2,50,2,2, , , ,9999,10,2,70,2,1,2,0,0,0,0,1,1,1,1, ,NE26,1,1645
5078,1,1640,1030,5,1,0,0,0,0,0,10,1,1, ,1,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,0,1,2, , , ,30,30,1,10,1,1,4,1,0,0,0,0,1,1,1, ,PA10,2,1645
5079,1,930,1030,5,1,0,0,0,0,0,8,1,1, ,10,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,3, , , , , , , , , ,3, , , , , ,3,3,300,10,400,10,2, , , ,9999,300,10,300,10,1,1,1,0,0,0,0,1,1,1, ,UB7 ,2,940
5080,1,1610,1030,5,1,0,0,0,0,0,10,1,1, ,16,1,1,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,2,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , ,1, , , , , , , , , ,1,1,1,200,16,30,1,2, , , ,9999,150,16,0,0,1,4,0,0,0,0,1,4,1,1, ,BL9 ,1,1615
5081,1,1416,1028,5,1,0,0,0,0,0,11,1,2, ,4,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,1,0,0,0,0,1,0,0,0,0, , ,2, , , , ,5, , , , ,3, , , , ,6, , ,7,9,100,4,300,4,1,40,600,4, , , ,200,4,1,3,1,0,0,0,0,1,1,3, ,    ,2,1425
5082,1,1110,1028,5,1,0,0,0,0,0,1,2, ,1,5,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,1,0,0,0,0,2,5, ,1,LS25,1,1117
5083,1,9999,1026,5,1,0,0,0,0,0,10,1,1, ,2,1,1,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50,2,9999,9999,3, , , , , , ,10,1,1,2,0,0,0,0,1,1,1,1, ,SY14,2,9999
5084,1,904,1024,5,1,1,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,0,0,0,0,0,1,0,0, , , , , , , , , ,1, , , , , , , , , ,1,3,2,20,2,10,2,2, , , ,60,150,2,9999,2,1,6,1,0,0,0,0,2,3,2, ,LA11,1,910
5085,1,907,1016,5,1,0,0,0,0,0,10,1,1, ,4,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,70,4,0,4,2, , , ,15,30,2,10,2,1,3,0,0,0,0,1,1,1,1, ,DE73,1,915
5086,1,1612,1035,5,1,0,0,0,0,0,10,1,1, ,7,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,1,0,0,0,0,0,0,0,0,0, , ,2, , , , , , , , , ,1, , , , , , , ,7,6,9999,9999,9999,9999,3, , , , , , ,9999,9999,1,7,1,0,0,0,0,1,1,1, ,KY2 ,2,1618
5087,1,1551,1035,5,1,0,0,0,0,0,10,1,1, ,4,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,4,0,0,2, , , ,10,30,4,80,4,1,5,1,0,0,0,0,1,1,2, ,NG5 ,2,1558
5088,1,1450,1035,5,1,0,0,0,0,0,10,1,1, ,8,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , ,2,2,50,6,0,0,2, , , ,20,100,6,30,6,1,4,1,0,0,0,0,1,1,1, ,DE65,2,1458
5089,1,9999,1026,5,1,1,1,0,0,0,10,1,1, ,3,1,1,1,0,0,0,0,0,0,0,0,1,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35,3,9999,9999,3, , , , , , ,0,1,1,2,1,0,0,0,0,1,1,1, ,DL15,2,9999
5090,1,9999,1026,5,1,0,0,0,0,0,5,2, ,1,3,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,0,0,0,0,1,2,2, ,1,TS14,1,9999
