iobs,ca,start_time,int_lo_code,int_area,c1_1,c1_2,c1_3,c1_4,c1_5,c1_6,c2,c2a,c3,c4,c5,c6,c7,c8,c9_1,c9_2,c9_3,c9_4,c9_5,c9_6,c9_7,c9_8,c9_9,c9_10,c10,c11,c12,c13,c14,c15,c16,c18,c19_1,c19_2,c19_3,c19_4,c19_5,c19_6,c19_7,c19_8,c19_9,c19_10,c19_11,c19_12,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58_1,c58_2,c58_3,c58_4,c58_5,c59,c60,c61,c62,C67,c71,c73
18,1,1200,1020,5,1,1,0,0,0,0,1,2, ,1,10,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,8,1,0,0,0,0,1,1, ,1,LS15,2,1205
19,1,1125,1020,5,1,0,0,0,0,0,1,2, ,2,47,2, ,1,0,0,0,1,0,0,0,0,0,0, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,1,0,0,0,0,1,1, ,1,LS19,1,1130
20,1,1040,1020,5,1,0,0,0,0,0,1,2, ,1,5,2, ,1,0,0,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,9,1,0,0,0,0,1,1, ,1,LS8 ,2,1045
21,1,1025,1020,5,1,0,0,0,0,0,5,2, ,1,4,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,9,1,0,0,0,0,1,1, ,1,WF17,2,1030
22,1,950,1020,5,1,0,0,0,0,0,1,2, ,2,2,2, ,1,1,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,7,0,0,0,0,1,1,1, ,1,BD23,1,955
23,1,1410,1020,5,1,0,0,0,0,0,1,2, ,1,2,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,1,0,0,0,0,1,1, ,1,LS11,2,1415
24,1,1425,1020,5,1,0,0,0,0,0,5,2, ,1,2,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,7,1,0,0,0,0,1,1, ,1,WF17,1,1430
50,1,1225,1001,1,1,0,0,0,0,0,1,2, ,1,2,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,7,1,0,0,0,0,1,1, ,1,BD10,1,1230
51,1,1215,1001,1,1,0,0,0,0,0,1,2, ,1,2,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,11,1,0,0,0,0,1,1, ,1,LS1 ,2,1220
52,1,1210,1001,1,1,0,0,0,0,0,1,2, ,1,2,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,11,0,1,0,0,0,1,1, ,1,LS9 ,1,1213
53,1,1158,1001,1,1,0,0,0,0,0,1,2, ,1,1,2, ,1,1,1,0,0,0,0,0,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,11,1,0,0,0,0,1,1, ,1,LS20,1,1200
54,1,1055,1001,1,1,1,0,0,0,0,1,2, ,1,3,2, ,1,0,0,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,1,0,0,0,0,2,2, ,1,HD4 ,1,1100
55,1,1040,1001,1,1,0,0,0,0,0,1,2, ,1,2,2, ,1,0,0,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,11,1,0,0,0,0,1,1, ,1,LS14,2,1050
56,1,1030,1001,1,1,0,0,0,0,0,1,2, ,1,3,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,1,0,0,0,0,3,3, ,1,WF6 ,2,1035
57,1,1020,1001,1,1,0,0,0,0,0,1,2, ,1,3,1,1,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,11,1,0,0,0,0,1,1, ,1,LS11,1,1025
58,1,1010,1001,1,1,1,0,0,0,0,1,2, ,1,4,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6,1,0,0,0,0,1,1, ,1,LS18,1,1015
59,1,1000,1001,1,1,1,0,0,0,0,1,2, ,1,4,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,11,1,0,0,0,0,2,2, ,1,LS11,1,1005
60,1,950,1001,1,1,0,0,0,0,0,1,2, ,1,2,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,11,1,0,0,0,0,2,1, ,1,LS19,1,955
61,1,905,1001,1,1,0,0,0,0,0,1,2, ,1,1,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,0,1,0,0,0,6,1, ,1,LS27,1,910
62,1,855,1001,1,1,0,0,0,0,0,1,2, ,1,1,2, ,1,0,1,0,0,0,0,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,11,0,1,0,0,0,2,2, ,1,BD2 ,2,900
63,1,840,1001,1,1,1,0,0,0,0,1,2, ,1,2,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,0,0,1,0,0,3,3, ,1,BD1 ,2,845
64,1,830,1001,1,1,0,0,0,0,0,1,2, ,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,11,0,0,0,0,1,3,2, ,2,LS28,2,835
65,1,1205,1001,1,1,1,0,0,0,0,10,1,1, ,2,2, ,1,0,1,0,0,0,0,0,0,0,0, ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,2,9999,9999,1,15,35,2, , , ,35,2,1,7,1,0,0,0,0,1,1,1, ,EX1 ,2,1208
66,1,1150,1001,1,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,2,9999,9999,1,30,40,2, , , ,40,2,1,7,1,0,0,0,0,3,2,3, ,DN11,2,1155
67,1,1140,1001,1,1,0,0,0,0,0,10,1,1, ,4,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50,4,0,0,1,15,65,4, , , ,85,4,1,8,1,0,0,0,0,2,1,2, ,NG19,2,1145
68,1,1130,1001,1,1,0,0,0,0,0,5,1,1, ,5,2, ,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30,5,0,0,1,21,9999,5, , , ,51,5,1,7,1,0,0,0,0,1,1,1, ,WF9 ,2,1135
69,1,1105,1001,1,1,0,1,0,0,0,9,1,1, ,1,1,1,2, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,1,0,0,1,90,9999,1, , , ,105,1,1,10,0,1,0,0,0,3,3,3, ,CM1 ,1,9999
70,1,935,1001,1,1,1,0,0,0,0,10,1,1, ,2,1,1,1,0,1,0,0,0,0,0,0,0,0, ,1, , , , , ,2,1,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , ,1, , , , , , , , , ,2,1,20,0,0,0,4, , , , , , ,20,2,1,11,1,0,0,0,0,1,1,2, ,S40 ,2,940
71,1,925,1001,1,1,1,0,0,0,0,10,1,2, ,2,1,1,2, , , , , , , , , , , , , , , , , ,2,1,0,0,0,0,0,0,0,0,0,0,0,3, , , , , , , , , ,2, , , , , , , , , ,3,2,100,2,300,2,3, , , , , , ,400,2,2,11,0,1,0,0,0,1,1,1, ,NE6 ,2,930
72,1,915,1001,1,1,1,0,0,0,0,11,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,2,1,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , ,2, , , , , , , , , ,2,2,50,2,0,0,1,14,64,2, , , ,65,2,1,1,1,0,0,0,0,2,1,1, ,    ,2,920
73,1,850,1001,1,1,0,0,0,0,0,10,1,1, ,1,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50,1,0,0,1,0,0,1, , , ,50,1,2,11,0,0,0,0,1,2,2,3, ,BD12,2,855
74,1,820,1001,1,1,1,0,0,0,0,10,1,1, ,3,2, ,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,3,0,0,1,25,25,3, , , ,25,3,1,2,1,0,0,0,0,1,1,2, ,OL13,2,9999
75,1,1330,1011,5,1,0,0,0,0,0,10,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,3, , , , , , , , , ,3, , , , , ,3,3,10,3,0,3,4, , , , , , ,0,3,1,2,0,0,0,0,1,2,1,1, ,NE61,2,1335
76,1,1324,1011,5,1,0,0,0,0,0,5,2, ,4,3,2, ,1,0,0,0,0,0,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,10,0,0,0,0,1,1,1, ,6,BD14,2,1327
77,1,1246,1011,5,1,0,0,0,0,0,10,1,2, ,2,2, ,2, , , , , , , , , , , , , , , , , ,2,0,0,0,0,1,0,0,0,0,0,0,0, , , , ,3, , , , , , , , , ,2, , , , , ,3,2,100,2,20,2,3, , , , , , ,20,2,1,9,1,0,0,0,0,1,1,1, ,CO3 ,2,1251
78,1,1210,1011,5,1,0,0,0,0,0,5,2, ,1,2,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,10,1,0,0,0,0,2,1, ,1,BD10,2,1213
79,1,1204,1011,5,1,0,0,0,0,0,11,1,1, ,2,2, ,2, , , , , , , , , , , , , , , , , ,2,1,0,0,1,1,0,0,0,0,1,0,0,2, , ,5,1, , , , ,28,1, , ,5,1, , , , ,21,36,35,50,2,80,2,1,9999,350,2, , , ,20,2,1,1,0,0,0,0,1,4,4,4, ,    ,2,1208
80,1,1150,1011,5,1,0,0,0,0,0,10,1,1, ,1,1,1,1,0,0,0,0,0,0,0,1,0,0, , , , , , , ,2,0,1,0,1,0,0,0,0,0,0,0,0, ,1, ,1, , , , , , , ,0, ,0, , , , , , ,2,2,75,1,0,1,3, , , , , , ,0,1,1,2,1,0,0,0,0,1,1,1, ,PL1 ,2,1155
